tau_in,q,dq,ddq,tauEst,q_raw,dq_raw,ddq_raw,temp
0,-1.12958,-0.0137363,0,-0.0703125,0,0,0,40
0,-1.12958,-0.0137363,0,-0.0703125,0,0,0,40
0,-1.12958,-0.0145948,0,0,0,0,0,40
0,-1.12958,-0.0163118,0,0.140625,0,0,0,40
0,-1.12958,0.130495,0,-0.0351562,0,0,0,40
0,-1.12958,-0.0635302,0,-0.105469,0,0,0,40
0,-1.12958,-0.0618132,0,-0.246094,0,0,0,40
0,-1.12954,0.0935783,0,0.246094,0,0,0,40
0,-1.12958,-0.00944368,0,0,0,0,0,40
0,-1.12958,-0.00429258,0,0,0,0,0,40
0,-1.12958,-0.0455014,0,0,0,0,0,40
0,-1.12958,-0.00772665,0,-0.0351562,0,0,0,40
0,-1.12958,-0.0291896,0,0.0351562,0,0,0,40
0,-1.12954,0.100446,0,0.0703125,0,0,0,39
0,-1.12958,-0.0618132,0,0,0,0,0,40
0,-1.12958,-0.0712569,0,0,0,0,0,40
0,-1.12958,-0.00858517,0,0.0351562,0,0,0,40
0,-1.12958,-0.0309066,0,0.0703125,0,0,0,40
0,-1.12958,-0.0317651,0,-0.0351562,0,0,0,40
0,-1.12958,-0.0197459,0,0.0703125,0,0,0,40
0,-1.12958,-0.0145948,0,0.0351562,0,0,0,40
0,-1.12958,-0.104739,0,0.140625,0,0,0,39
0,-1.12958,-0.00171703,0,0.175781,0,0,0,39
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,-0.0815591,0,0.175781,0,0,0,39
0,-1.12958,-0,0,0.210938,0,0,0,39
0,-1.12958,-0.0111607,0,0.105469,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,-0.0661058,0,0.140625,0,0,0,40
0,-1.12958,-0.00343407,0,0.0351562,0,0,0,40
0,-1.12958,-0.00944368,0,-0.0351562,0,0,0,39
0,-1.12958,-0.000858516,0,0,0,0,0,40
0,-1.12958,-0.0197459,0,0,0,0,0,40
0,-1.12954,0.164835,0,-0.0703125,0,0,0,39
0,-1.12958,-0.0429258,0,0.0703125,0,0,0,39
0,-1.12958,-0.0412088,0,0.0703125,0,0,0,39
0,-1.12958,-0.0480769,0,0,0,0,0,39
0,-1.12958,-0.0480769,0,0,0,0,0,39
0,-1.12958,-0.00343407,0,0,0,0,0,40
0,-1.12958,-0.049794,0,0.210938,0,0,0,40
0,-1.12958,-0.0600962,0,-0.210938,0,0,0,39
0,-1.12958,0.134787,0,0,0,0,0,40
0,-1.12958,-0.00686813,0,-0.140625,0,0,0,40
0,-1.12958,-0,0,-0.210938,0,0,0,40
0,-1.12958,-0.0120192,0,0.105469,0,0,0,40
0,-1.12958,-0.0051511,0,0.0351562,0,0,0,40
0,-1.12954,0.168269,0,0.0703125,0,0,0,40
0,-1.12958,-0.0163118,0,-0.316406,0,0,0,40
0,-1.12954,0.0824176,0,0,0,0,0,40
0,-1.12958,-0.000858516,0,-0.0703125,0,0,0,40
0,-1.12958,-0,0,-0.140625,0,0,0,40
0,-1.12958,-0,0,0,0,0,0,40
0,-1.12958,-0.0661058,0,0.0351562,0,0,0,39
0,-1.12958,-0,0,-0.140625,0,0,0,40
0,-1.12958,-0.00686813,0,-0.0351562,0,0,0,40
